schema_version,solver_version,observation_model,objective,centerline_direction_convention,experiment,experiment_label,noise_std_deg,camera_pitch_true_deg,camera_roll_true_deg,n_total,n_success,n_failure,failure_rate,yaw_mae_deg,yaw_rmse_deg,yaw_bias_deg,yaw_error_std_deg,yaw_median_abs_error_deg,yaw_p95_abs_error_deg,yaw_max_abs_error_deg,blade_mae_deg,blade_rmse_deg,blade_bias_deg,blade_error_std_deg,blade_median_abs_error_deg,blade_p95_abs_error_deg,blade_max_abs_error_deg,mean_direction_sse,mean_max_abs_collinearity_residual,mean_min_directed_scale,alpha_step_deg,yaw_step_deg,side_exclusion_deg,base_seed,group_seed,configured_repeats,effective_repeats,refinement_enabled,max_refine_seeds
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,2.0,45.0,0.0,4080,4080,0,0.0,0.17123448950967468,0.24972866821089817,0.007476426355879217,0.24961672775544108,0.11304585510286813,0.5330958950751437,1.473180502398293,0.6337623187705035,0.9503008403199099,0.002810536342284705,0.9502966841982539,0.38595038342758414,2.0672086837482886,4.692471416407116,0.00023542835225996394,0.009362446800484144,0.5611099747033172,5.0,5.0,5.0,20260713,22280913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_pitch_error,Camera pitch measurement noise,4.0,45.0,0.0,4080,4080,0,0.0,0.3577477693907179,0.5264782086718253,-0.00422339380701714,0.5264612684244158,0.2315332518950015,1.1206349560819469,3.3630489123339657,1.304531835515872,1.9687020380863631,-0.06735497289115025,1.9675494968087162,0.826973577202029,4.208735237234876,12.803981568419928,0.0009628642931051219,0.019083527027955734,0.558626927020184,5.0,5.0,5.0,20260713,22281013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,0.0,-45.0,0.0,816,816,0,0.0,8.474267039727077e-14,3.9281726071977936e-13,-6.443647358608752e-15,3.927644074099752e-13,2.842170943040401e-14,1.9895196601282805e-13,6.934897101018578e-12,4.587180308804176e-14,1.814565990558985e-13,-4.475722624763376e-15,1.814013926294925e-13,1.4210854715202004e-14,1.509903313490213e-13,2.9558577807620168e-12,1.9885336817752554e-29,9.150668254371592e-16,0.5619198644893755,5.0,5.0,5.0,20260713,23260713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,1.0,-45.0,0.0,4080,4080,0,0.0,0.5232788565835725,0.6907539995539809,-0.0002712612421013126,0.6907539462914124,0.4166360522254138,1.4225017410372893,2.6782699714766522,0.5796470721265391,0.7747479364047548,-0.003784171819948367,0.7747386946623119,0.43915379379333075,1.5411092056437945,4.312285367046613,4.2797296290098024e-05,0.0036613527301158875,0.5617037353814651,5.0,5.0,5.0,20260713,23260813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,2.0,-45.0,0.0,4080,4080,0,0.0,1.0798586413147766,1.4228543286619286,-0.017208215737171694,1.422750265472873,0.8738916472557605,2.879179680538592,6.564133089908523,1.1932199157860723,1.6012071052297445,-0.030928375360398358,1.6009083763400653,0.9428890736998561,3.181468073454525,11.337916979193182,0.0001833655157423124,0.0075588481818036415,0.5612966688745125,5.0,5.0,5.0,20260713,23260913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,4.0,-45.0,0.0,4080,4080,0,0.0,2.136606720343372,2.795530431191179,0.016146024470262733,2.7954838038539496,1.716031519787066,5.585889949866878,12.326986437576693,2.378431039427254,3.181217649487816,-0.032740483908174224,3.1810491656254305,1.8504374495549811,6.252939775126169,19.451694326057883,0.000709664412281537,0.01497134419057874,0.5603104419226924,5.0,5.0,5.0,20260713,23261013,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,0.0,0.0,0.0,816,816,0,0.0,1.8185742968169096e-08,2.501352460114097e-07,1.615177572517166e-08,2.4961322368438776e-07,2.842170943040401e-14,1.4210854715202004e-13,4.429794643101559e-06,4.4213970175697866e-10,8.48295343653336e-09,9.350050145893446e-11,8.482438131965366e-09,0.0,1.4210854715202004e-14,2.079348888628374e-07,2.0092776652732017e-18,9.6449576462635e-11,0.7376533546528464,5.0,5.0,5.0,20260713,23270713,5,1,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,1.0,0.0,0.0,4080,4080,0,0.0,0.07939001849396056,0.16626093408237794,0.003030774268415519,0.1662333077613471,0.016462628568021387,0.36983406293084037,1.5108809520084492,0.8343499061815364,1.0616625565212938,-0.006658265461423419,1.0616416775072344,0.7002611973593389,2.1102127841677234,4.499774657372839,6.468255189743925e-05,0.0040544076035049,0.7373679578858588,5.0,5.0,5.0,20260713,23270813,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,2.0,0.0,0.0,4080,4080,0,0.0,0.16206447218630998,0.3338032352397889,-0.010654666606474527,0.3336331487368345,0.03934539268601611,0.7659301541798235,2.875396585762388,1.671874474980762,2.1423698458632106,0.01300284213560739,2.142330385948991,1.3747564758940705,4.1992846490722995,11.306840680611089,0.00025622187971945673,0.008068290113507114,0.7373729946005427,5.0,5.0,5.0,20260713,23270913,5,5,True,4
2.0,unit_centerline_quartic_v1,independent_unit_directions,paper_cross_product_sse,hub_to_tip,camera_roll_error,Camera roll measurement noise,4.0,0.0,0.0,4080,4080,0,0.0,0.35366401671658687,0.7015689472555507,0.004561012082429265,0.7015541211638955,0.10594844136963388,1.5879421349081393,6.891995796256822,3.345213718491781,4.280482258059509,-0.024409727033095588,4.280412658469789,2.7147560577221626,8.367074087969357,20.812344051780855,0.0010775704326966885,0.016366578377269708,0.7366078772312117,5.0,5.0,5.0,20260713,23271013,5,5,True,4
